OBJECTID,Water_System_Name,Water_SystemID,Facility_Type,Source_Name,Principle_County_Served,Facility_ID,Population_Served,Water_System_Type,FIN,WATER,LakeID
237,JOHNSTOWN (C) WATER WORKS,NY1700019,IN,CHRISTMAN RESERVOIR,FULTON,2571022,8743,C,H-240-89-10-2-1-P670,Cold Brook Reservoir,1201COL0670
238,ONEIDA CITY,NY2602381,IN,GLENMORE RESERVOIR,MADISON,2592855,11393,C,ONT-66-11-P26-24-14-4-P73,Oneida City Reservoir,0703ONE0073
239,AMSTERDAM (C),NY2800136,IN,GLEN WILD INTAKE POND,MONTGOMERY,2571240,20700,C,H-369-P127-21-P134D,Unnamed Water,1104UWB0134D
240,GLOVERSVILLE (C) WATER WORKS,NY1700018,IN,RICE RESERVOIR,FULTON,2571017,17991,C,H-369-P127-33-3-1-P152D,Rice Reservoir,1104RIC0152D
241,TUPPER LAKE V,NY1600012,IN,LITTLE SIMON POND INTAKE,FRANKLIN,2570996,5500,C,SL-1-P180-4-P182,Little Simon Pond,0903LSI0182
242,GLOVERSVILLE (C) WATER WORKS,NY1700018,IN,CAMERON RESERVOIR,FULTON,2571020,17991,C,H-369-P127-33-1-P152,Cameron Reservoir,1104CAM0152
243,HORNELL CITY,NY5001215,IN,RESERVOIR #2,STEUBEN,2571487,8590,C,PA-3-57-5-49-7-P36,Hornell Rs No 2,0503HOR0036
244,FOREST LAKE CAMP,NY5612692,IN,INTAKE FROM FOREST LAKE,WARREN,2597313,263,NP,H-391-14-1-P340,Forest Lake,1104FOR0340
245,TICONDEROGA WD,NY1500293,IN,GOOSENECK POND INTAKE,ESSEX,2570954,3700,C,H-391-39-1-P438-4-P442,Gooseneck Pond,1104GOO0442
246,NORWICH CITY,NY0801745,IN,CHENANGO LAKE,CHENANGO,2574587,8000,C,SR-146-19-6-1-P213,Chenango Lake,0601CHE0213
247,ONEONTA CITY,NY3800154,IN,LOWER RESERVOIR,OTSEGO,2571355,15779,C,SR-179-P295,Lower Reservoir,0601LOW0295
248,RICHFIELD SPRINGS VILLAGE,NY3800156,IN,ALLEN LAKE,OTSEGO,2571356,1200,C,SR-P404-9-P405,Allen Lake,0601ALL0405
249,MASSENA VILLAGE,NY4404390,IN,SURFACE-ST LAWRENCE RIVER,ST LAWRENCE,2571411,16729,C,SL-P5150,Lake St Lawrence,0901STL5150
250,CANAJOHARIE (V) WATER WORKS,NY2800137,IN,SPRING POND,MONTGOMERY,2589357,2300,C,<Null>,SPRING POND,1201SPRXXX1
251,RICHMONDVILLE VILLAGE,NY4700097,IN,SURFACE RESERVOIR # 2,SCHOHARIE,2571460,918,C,H-240-82-63-25-P599,Unnamed Water,1202UWB0599
252,FLORIDA VILLAGE,NY3503527,IN,GLENMERE LAKE,ORANGE,2571305,2884,C,H-139-13-59-P668,Glenmere Lake,1306GLE0668
253,ANTLERS AT DIAMOND POINT,NY5621608,IN,SURFACE-LAKE GEORGE,WARREN,2571985,125,C,C-101-P367,Lake George,1006GEO0367
254,LOURDES CAMP INC,NY3302017,IN,INTAKE 1,ONONDAGA,2623157,295,NP,ONT-66-12-29-P193,Skaneateles Lake,0707SKA0193
255,LOURDES CAMP INC,NY3302017,IN,INTAKE 2,ONONDAGA,2623158,295,NP,ONT-66-12-29-P193,Skaneateles Lake,0707SKA0193
256,SHARON SPRINGS VILLAGE,NY4700099,IN,SURFACE RESERVOIR # 2,SCHOHARIE,2571462,558,C,H-240-82-63-13-13-P589A,Unnamed Water,1202UWB0589A
257,CRATER CLUB WATER SUPPLY,NY1512226,IN,LAKE CHAMPLAIN,ESSEX,2570983,132,NC,C-P1,Lake Champlain,1000CHA0001
258,ONEONTA CITY,NY3800154,IN,WILBER LAKE,OTSEGO,2571354,15779,C,SR-179-P297,Wilber Lake,0601WIL0297
259,BLUE WATER BEACH,NY0611671,IN,INFILTRATION GALLERY,CHAUTAUQUA,2570849,500,NC,E-P5000,Lake Erie,0100ERI5000
260,LAKE TIORATI WS,NY3517682,IN,LAKE TIORATI,ORANGE,2571342,999,NC,H-43-P152,Lake Tiorati,1301TIO0152
261,ATTICA VILLAGE,NY6000607,IN,RESERVOIR TWO INTAKE,WYOMING,2617640,2659,C,ONT-158-12-46-P20,Attica Reservoir,0102ATT0020
262,LONG POINT STATE PARK - JEFFERSON CTY,NY2211795,IN,SURFACE INTAKE-LAKE ONTARIO,JEFFERSON,2571177,360,NC,ONT,Lake Ontario,0300ONT0000
263,CAMP BUCKNER-NATURAL BRIDGE,NY3511339,IN,POPOLOPEN LAKE,ORANGE,2571328,3000,NC,H-61-P187A-1-P188-2-P191,Popolopen Lake,1301POP0191
264,GLEN MOTOR INN,NY4814162,IN,INTAKE,SCHUYLER,2571465,25,NC,ONT-66-12-P369,Seneca Lake,0705SEN0369
265,TANNERSVILLE VILLAGE,NY1900033,IN,RESERVOIR #1,GREENE,2571055,629,C,H-240-82-147B-1-P655B,Tannersville Reservoir,1202TAN0655B
266,PEEKSKILL CITY,NY5903452,IN,CAMPFIELD RESERVOIR,WESTCHESTER,2602323,24272,C,H-55-P163A,Camp Field Reservoir,1301CAM0163A
267,SNUG HARBOR,NY5006019,IN,INTAKE,STEUBEN,2571492,25,NC,ONT-66-12-P369-115-P388,Keuka Lake,0705KEU0388
268,TANNERSVILLE VILLAGE,NY1900033,IN,RESERVOIR #2,GREENE,2571054,629,C,H-240-82-147B-1-3-P655A,Tannersville Reservoir,1202TAN0655A
269,CANNON POINT CONDOMINIUMS,NY5605392,IN,LAKE GEORGE,WARREN,2571914,275,C,C-101-P367,Lake George,1006GEO0367
270,ITHACA CITY,NY5404416,IN,SIX MILE CREEK RESERVOIR AT 60 FT. DAM,TOMPKINS,2571553,29457,C,ONT-66-12-P296-75-5-P340A,Unnamed Water,0705UWB0340A
271,GUILDERLAND TOWN WD,NY0100205,IN,WATERVLIET RESERVOIR,ALBANY,2570802,30000,C,H-221-4-PN270,Watervliet Reservoir,1311WAT0270
272,GUFFIN BAY RESORT & MARINA,NY2219170,IN,LAKE ONTARIO-SHORE WELL,JEFFERSON,2571205,60,NC,ONT,Lake Ontario,0300ONT0000
273,ASSOCIATION ISLAND R.V. RESORT &MARINA,NY2230097,IN,INTAKE,JEFFERSON,2603754,307,NC,ONT,Lake Ontario,0300ONT0000
274,HIGHLAND WATER DISTRICT,NY5503368,IN,UPLAND RESERVOIRS,ULSTER,2571586,4000,C,H-116-1-2A-P438P,Unnamed Water,1301UWB0438P
275,MARIAVILLE LAKESIDE COUNTRY STORE,NY4630021,IN,MARIAVILLE LAKE,SCHENECTADY,2575866,25,NC,H-240-P570,Mariaville Lake,1201MAR0570
276,WHITEHALL VILLAGE,NY5700124,IN,PINE LAKE,WASHINGTON,2571998,2800,C,C-119-P398,Pine Lake,1005PIN0398
277,MARLBOROUGH WATER DISTRICT,NY5503377,IN,RESERVOIR,ULSTER,2571591,3248,C,H-103-6-P413,Unnamed Water,1301UWB0413
278,ROSENDALE WATER DISTRICT,NY5503383,IN,STILL POND,ULSTER,2571600,2200,C,H-P6000,Unnamed Water,1306UWB6000
279,JOHN BOYD THATCHER STATE PARK,NY0118342,IN,THOMPSON LAKE INTAKE,ALBANY,2570806,100,NC,H-PN274,Thompsons Lake,1311THO0274
280,HORNELL CITY,NY5001215,IN,RESERVOIR #3,STEUBEN,2571486,8590,C,PA-3-57-5-49-P35,Hornell Rs No 3,0503HOR0035
281,BEAR MOUNTAIN WATER SUPPLY,NY4317681,IN,QUEENSBORO LAKE INTAKE,ROCKLAND,2571398,3564,C,H-61-2-P184A,Queensboro Lake,1301QUE0184A
282,JOHNSTOWN (C) WATER WORKS,NY1700019,IN,CORK CENTER INTAKE RES.,FULTON,2571026,8743,C,H-240-89-8-P662,Unnamed Water,1201UWB0662
283,"US SALT, LLC",NY4811938,IN,SENECA LAKE INTAKE,SCHUYLER,2608589,130,NTNC,ONT-66-12-P369,Seneca Lake,0705SEN0369
284,BLUE WATER MANOR,NY5618139,IN,LAKE GEORGE,WARREN,2571976,350,NC,C-101-P367,Lake George,1006GEO0367
285,FORT EDWARD VILLAGE,NY5700119,IN,DORITY RESERVOIR (PRIMARY SOURCE),WASHINGTON,2571994,3300,C,H-318-1-3-P98,Dority Reservoir,1101DOR0098
286,MARY ISLAND STATE PARK,NY2211796,IN,ST. LAWRENCE RIVER-SURFACE INTAKE,JEFFERSON,2571178,50,NC,ONT,Lake Ontario,0300ONT0000
287,LITTLE FALLS CITY,NY2102308,IN,BEAVER CREEK RESERVOIR,HERKIMER,2571111,4946,C,H-240-144-9-5-P706,Unnamed Water,1201UWB0706
288,DANSVILLE VILLAGE,NY2501015,IN,2 MIL GAL. SEDIMENTATION INTAKE,LIVINGSTON,2571221,8900,C,ONT-117-66-22-1-P92F,Dansville storage reservo,0404DAN0092F
289,GUILFORD WATER DISTRICT,NY0801742,IN,GUILFORD LAKE,CHENANGO,2570862,350,C,SR-146-1-P188,Guilford Lake,0601GUI0188
290,POCANTICO HILLS WATER DISTRICT,NY5903472,IN,POCANTICO LAKES (4),WESTCHESTER,2572023,329,C,H-20-2-P28C,Fergusons Lake,1301FER0028C
291,MIDDLETOWN CITY,NY3503534,IN,MONHAGEN RESERVOIR,ORANGE,2571310,30000,C,H-139-13-52-P598,Monhagen Lake,1306MON0598
292,NEW YORK CITY SYSTEM,NY7003493,IN,WEST BRANCH RESERVOIR DEL10,NEW YORK ( BOROUGH),2624830,8271000,C,H-31-P44-23-P67,West Branch Reservoir,1302WES0067
293,MOUNT KISCO WATER DEPARTMENT,NY5903437,IN,BYRAM LAKE,WESTCHESTER,2572017,9600,C,LIS-13-P1106,Bryam Lake Reservoir,1702BRY1106
294,BIRCH HAVEN CAMPGROUND,NY2208811,IN,SURFACE INTAKE-ST. LAWRENCE RIVER,JEFFERSON,2571156,200,NC,ONT,Lake Ontario,0300ONT0000
295,KRING POINT STATE PARK,NY2211794,IN,INTAKE,JEFFERSON,2571176,600,NC,ONT,Lake Ontario,0300ONT0000
296,INDIAN KILL,NY3503592,IN,INDIAN KILL RESERVOIR,ORANGE,2571324,1000,C,NJ-12-16-P1007A,Unnamed Water,1501UWB1007A
297,BREWSTER HEIGHTS,NY3905680,IN,"MIDDLE BRANCH RES, NYC CROTON SYS",PUTNAM,2571374,698,C,H-31-P44-23-P59-6-P62,Middle Branch Reservoir,1302MID0062
298,STAMFORD VILLAGE,NY1200272,IN,TRAVIS POND EMERGENCY,DELAWARE,2570909,1280,C,D-71-P453-2-P461-2-P462A,Blazer Pond,1404BLA0462A
299,SOUTHWICK BEACH STATE PARK,NY2211797,IN,INTAKE,JEFFERSON,2600987,520,NC,ONT,Lake Ontario,0300ONT0000
300,STAMFORD VILLAGE,NY1200272,IN,BLAZER POND EMERGENCY,DELAWARE,2570910,1280,C,D-71-P453-2-P461-2-P462A,Blazer Pond,1404BLA0462A
301,SAUGERTIES (VILLAGE) WATER DIS,NY5503386,IN,BLUE MOUNTAIN RESEVOIR,ULSTER,2571602,4100,C,H-171-11-P834,Saugerties Reservoir,1307SAU0834
302,CENTRAL BRIDGE WATER DISTRICT,NY4700093,IN,INTAKE # 3,SCHOHARIE,2620278,593,C,H-240-82-63-1-P579A,Unnamed Water,1202UWB0579A
303,LAGOON MANOR HOMEOWNERS ASSOCIATION,NY5622708,IN,LAKE GEORGE (INTAKE 250' LONG),WARREN,2571988,180,C,C-101-P367,Lake George,1006GEO0367
304,TANNERSVILLE VILLAGE,NY1900033,IN,BLENDED RAW SOURCES,GREENE,2634301,629,C,H-240-82-147B-1-3-P655A,Tannersville Reservoir,1202TAN0655A
305,MIDDLETOWN CITY,NY3503534,IN,KINCH RESERVOIR,ORANGE,2571309,30000,C,H-139-13-19-P515,Mill Pond,1306MIL0515
306,JOHNSTOWN (C) WATER WORKS,NY1700019,IN,SYLVAN FALLS,FULTON,2571024,8743,C,H-240-89-10-2-1-P670,Cold Brook Reservoir,1201COL0670
307,MCWA,NY2701047,IN,WEBSTER INTAKE,MONROE,2630346,496753,C,ONT,Lake Ontario,0300ONT0000
308,NEW PALTZ (VILLAGE) WATER DIST,NY5503379,IN,UPLAND RESERVOIRS,ULSTER,2571594,6818,C,H-139-13-11-4-1-P6070,Unnamed Water,1306UWB6070
309,CAHOON FARMS PROCESSING PLANT,NY5822366,RS,11MG RESERVOIR,WAYNE,2629744,100,NTNC,<Null>,Unnamed Water,0302RESXXX1
310,HAGUE COMMUNITY HOMEOWNERS ASSOCIATION,NY5600105,RS,"22,000 GAL SM UPPER SPRING FED RESERVOIR",WARREN,2573369,20,NP,C-101-P367,Lake George,1006GEO0367
311,HAGUE COMMUNITY HOMEOWNERS ASSOCIATION,NY5600105,RS,"250,000 GAL UPPER  RESERVOIR- AUX",WARREN,2573370,20,NP,C-101-P367,Lake George,1006GEO0367
312,CORNWALL-ON-HUDSON,NY3503526,RS,ALECK MEADOW RESERVOIR,ORANGE,2621134,9700,C,H-88-4-P222D,Aleck Meadow Reservoir,1303ALE0222D
313,RIPLEY WATER DISTRICT,NY0600372,RS,ALFORD RESERVOIR-20 MG,CHAUTAUQUA,2612993,1300,C,E-P166M,Unnamed Water,0105UWB0166M
314,NEW YORK CITY SYSTEM,NY7003493,RS,AMAWALK RESERVOIR,NEW YORK ( BOROUGH),2624854,8944598,C,H-31-P44-14-P50,Amawalk Reservoir,1302AMA0050
315,NEW YORK CITY SYSTEM,NY7003493,RS,BOG BROOK RESERVOIR,NEW YORK ( BOROUGH),2624857,8944598,C,H-31-P44-24-9-P86,Bog Brook Reservoir,1302BOG0086
316,NEW YORK CITY SYSTEM,NY7003493,RS,CANNONSVILLE RESERVOIR (96726 MG) CR1,NEW YORK ( BOROUGH),2624812,8944598,C,D-71-P402A,Cannonsville Reservoir,1404CAN0402A
317,BEACON CITY,NY1302760,RS,CARGILL RESERVOIR,DUTCHESS,2575725,21080,C,H-95-5-3-P345A,Beacon Reservoir,1304BEA0345A
318,ROCHESTER CITY,NY2704518,RS,COBBS HILL RESERVOIR (UNCOVERED- 144 MG),MONROE,2575790,228032,C,ONT-P118,Cobbs Hill Reservoir,0302COB0118
319,NEW YORK CITY SYSTEM,NY7003493,RS,CROSS RIVER RESERVOIR (10300 MG),NEW YORK ( BOROUGH),2624863,8944598,C,H-31-P44-35-P109,Cross River Reservoir,1302CRO0109
320,NEW YORK CITY SYSTEM,NY7003493,RS,CROTON FALLS (29895 MG),NEW YORK ( BOROUGH),2624861,8944598,C,H-31-P44-23-P59,Croton Falls Reservoir,1302CRO0059
321,NEW YORK CITY SYSTEM,NY7003493,RS,CROTON FALLS DIVERTING BASIN,NEW YORK ( BOROUGH),2624856,8944598,C,H-31-P44-24-P83,Diverting Reservoir,1302DIV0083
322,MCWA,NY2701047,RS,DENISE RESERVOIR (55 MG),MONROE,2576105,805576,C,ONT-P5258,Unnamed Water,0302UWB5258
323,NEW YORK CITY SYSTEM,NY7003493,RS,EAST BRANCH RESERVOIR,NEW YORK ( BOROUGH),2624865,8944598,C,H-31-P44-24-P89,East Branch Reservoir,1302EAS0089
324,AUBURN,NY0501710,RS,FRANKLIN STREET RESERVOIR,CAYUGA,2626255,30938,C,,,
325,CORNWALL-ON-HUDSON,NY3503526,RS,GIBSON (UPPER)  RESERVOIR,ORANGE,2621135,9700,C,H-88-P223,Upper Reservoir,1303UPP0223
326,ROCHESTER CITY,NY2704518,RS,HIGHLAND RESERVOIR (UNCOVERED - 26 MG),MONROE,2575789,228032,C,ONT-117-P8,Unnamed Water,0302UWB0008
327,NEW YORK CITY SYSTEM,NY7003493,RS,HILL RESERVOIR (900MG),NEW YORK ( BOROUGH),2624831,8944598,C,ER-3-P1052,Hillview Reservoir,1702HIL1052
328,NEW YORK CITY SYSTEM,NY7003493,RS,JEROME PARK RESERVOIR (820MG),NEW YORK ( BOROUGH),2624867,8944598,C,ER-1-5-P1042,Jerome Park Reservoir,1301JER1042
329,NEW YORK CITY SYSTEM,NY7003493,RS,KENSICO RESERVOIR (30573 MG) DEL17,NEW YORK ( BOROUGH),2624820,8944598,C,ER-3-P1063,Kensico Reservoir,1702KEN1063
330,NEW YORK CITY SYSTEM,NY7003493,RS,LAKE GILEAD,NEW YORK ( BOROUGH),2624859,8944598,C,H-31-P44-23-P59-3-P61,Lake Gilead,1302GIL0061
331,NEW YORK CITY SYSTEM,NY7003493,RS,LAKE GLENEIDA (200 MG),NEW YORK ( BOROUGH),2624862,8944598,C,H-31-P44-23-P67-10-P74,Lake Gleneida,1302GLE0074
332,NEW YORK CITY SYSTEM,NY7003493,RS,LAKE KIRK,NEW YORK ( BOROUGH),2624860,8944598,C,H-31-P44-14-7-P52,Kirk Lake,1302KIR0052
333,RICHFIELD SPRINGS VILLAGE,NY3800156,RS,LOWER RESERVOIRS,OTSEGO,2576756,1200,C,SR-P395,Unnamed Water,0601UWB0395
334,BEACON CITY,NY1302760,RS,MELZINGAH RESERVOIR,DUTCHESS,2575727,21080,C,H-92-P331,Melzingah Reservoir,1301MEL0331
335,MCWA,NY2701047,RS,MENDON RESERVOIR (5.3 MG),MONROE,2576119,805576,C,<Null>,MENDON RESERVOIR,0302MENXXX1
336,NEW YORK CITY SYSTEM,NY7003493,RS,MIDDLE BRANCH RESERVOIR,NEW YORK ( BOROUGH),2624858,8944598,C,H-31-P44-23-P59-6-P62,Middle Branch Reservoir,1302MID0062
337,BEACON CITY,NY1302760,RS,MT BEACON RESERVOIR,DUTCHESS,2575726,21080,C,,,
338,NEW YORK CITY SYSTEM,NY7003493,RS,MUSCOOT RESERVOIR,NEW YORK ( BOROUGH),2624855,8944598,C,H-31-P44,New Croton Reservoir,1302NEW0044
339,NEW YORK CITY SYSTEM,NY7003493,RS,NEVERSINK RESERVOIR (35466 MG),NEW YORK ( BOROUGH),2624814,8944598,C,D-1-P58B,Neversink Reservoir,1402NEV0058B
340,NEW YORK CITY SYSTEM,NY7003493,RS,PEPACTON RESERVOIR (143701 MG),NEW YORK ( BOROUGH),2624813,8944598,C,D-70-P358A,Pepacton Reservoir,1403PEP0358A
341,"OLIVET MANAGEMENT, LLC",NY1316987,RS,RESERVOIR,DUTCHESS,2613061,79,C,CT-15-4-6-P1117A,Unnamed Water,1601UWB1117A
342,NUNDA VILLAGE,NY2501024,RS,RESERVOIR,LIVINGSTON,2613976,1600,C,ONT-117-66-3-25-P84A,Nunda Reservoir,0404NUN0084A
343,ATTICA VILLAGE,NY6000607,RS,"RESERVOIR #3, 500 MG, FEEDS RES #2",WYOMING,2613990,7044,C,ONT-158-12-46-P20,Attica Reservoir,0102ATT0020
344,SCHUYLERVILLE-VICTORY JWC,NY4500169,RS,RESERVOIR SOURCE (EMERGENCY),SARATOGA,2589196,2200,C,,,
345,ROCHESTER CITY,NY2704518,RS,RUSH RESERVOIR (COVERED - 63 MG),MONROE,2575787,228032,C,ONT-117-P33,Rush Reservoir,0402RUS0033
346,NEW YORK CITY SYSTEM,NY7003493,RS,SCHOHARIE RESERVOIR (19583 MG),NEW YORK ( BOROUGH),2624815,8944598,C,H-240-82-P638A,Schoharie Reservoir,1202SCH0638A
347,MVWA - MOHAWK VALLEY WATER AUTHORITY,NY3202411,RS,SOURCE - HINCKLEY RESERVOIR,ONEIDA,2582332,129372,C,H-240-180-P799,Hinckley Reservoir,1203HIN0799
348,CANAJOHARIE (V) WATER WORKS,NY2800137,RS,SPRITE CREEK RESERVOIR,MONTGOMERY,2575545,2300,C,<Null>,SPRING POND,1201SPRXXX1
349,"U.S.M.A. - TMP AREA """"V""""",NY3530232,RS,STILLWELL LAKE,ORANGE,2626425,140,NTNC,H-61-P187A,Stillwell Lake,1301STI0187A
350,NEW YORK CITY SYSTEM,NY7003493,RS,TITICUS RESERVOIR,NEW YORK ( BOROUGH),2624864,8944598,C,H-31-P44-26-P103,Titicus Reservoir,1302TIT0103
351,NEW YORK CITY SYSTEM,NY7003493,RS,WEST BRANCH RESERVOIR DEL9,NEW YORK ( BOROUGH),2624818,8944598,C,H-31-P44-23-P67,West Branch Reservoir,1302WES0067
352,PEEKSKILL CITY,NY5903452,RS,WICCOPEE RESERVOIR,WESTCHESTER,2602321,54841,C,H-55-17-P183A,Wiccopee Reservoir,1301WIC0183A
